0.021589 1348.24 55.1279
0.022197 1330.24 42.3289
0.022805 1323.8 39.2084
0.023413 1318.67 34.6923
0.024021 1301.15 35.3526
0.024629 1289.66 30.8331
0.025237 1255.59 28.2707
0.025845 1243.94 25.9064
0.026454 1249.21 25.2823
0.027062 1221.55 22.8689
0.02767 1218.43 23.3318
0.028278 1208.88 23.7992
0.028886 1185.01 34.4611
0.029494 1163.13 22.8971
0.030102 1152.76 21.2003
0.03071 1137.92 18.7123
0.031319 1122.54 21.2052
0.031927 1117.23 18.1579
0.032535 1098.7 16.1494
0.033143 1084.4 15.4451
0.033751 1076.65 16.2253
0.034359 1055.13 14.4774
0.034967 1034.35 14.0512
0.035575 1016.23 13.767
0.036184 990.627 14.2249
0.036792 992.372 13.6782
0.0374 985.996 13.5028
0.038008 971.406 12.2131
0.038616 953.102 11.7641
0.039224 932.668 11.1856
0.039832 915.559 12.1099
0.04044 916.318 11.5778
0.041049 900.496 12.2059
0.041657 875.444 11.9407
0.042265 870.264 11.2442
0.042873 846.543 11.5399
0.043481 840.337 11.0502
0.044089 817.837 9.84921
0.044697 816.214 10.0308
0.045305 796.162 9.7275
0.045914 792.91 9.83831
0.046522 781.583 11.0446
0.04713 764.221 10.4817
0.047738 744.376 11.2394
0.048346 740.215 10.4165
0.048954 723.234 9.49228
0.049562 708.875 9.8389
0.05017 690.28 9.15044
0.050779 676.155 9.20298
0.051387 661.934 9.10888
0.051995 652.264 8.67821
0.052603 637.124 8.62841
0.053211 631.831 5.06094
0.053819 623.424 4.90826
0.054427 606.985 4.92304
0.055035 597.499 4.88648
0.055644 584.742 4.82668
0.056252 575.057 4.67467
0.05686 558.508 4.58735
0.057468 549.101 4.37808
0.058076 543.155 4.2544
0.058684 529.979 4.63983
0.059292 522.082 4.47991
0.0599 511.255 4.70832
0.060509 500.645 4.57462
0.061117 485.528 4.25986
0.061725 478.714 4.39117
0.062333 469.327 4.15913
0.062941 462.195 3.89455
0.063549 452.562 3.92625
0.064157 442.357 3.95341
0.064765 433.965 3.81001
0.065374 423.737 3.70374
0.065982 416.615 3.61809
0.06659 407.343 3.69393
0.067198 401.114 3.64272
0.067806 393.891 3.61625
0.068414 383.787 3.46538
0.069022 373.313 3.55284
0.06963 364.35 3.44995
0.070238 358.24 3.45302
0.070847 352.557 3.28275
0.071455 344.075 3.24796
0.072063 335.951 3.10289
0.072671 329.319 3.42091
0.073279 321.885 3.27667
0.073887 313.266 3.29146
0.074495 305.824 3.24005
0.075103 299.246 3.09691
0.075712 291.891 3.05692
0.07632 288.082 3.01247
0.076928 279.461 2.92635
0.077536 274.828 2.83441
0.078144 268.941 2.71193
0.078752 262.043 2.69
0.07936 256.01 2.71334
0.079968 249.987 2.8303
0.080576 244.678 2.70181
0.081185 241.517 2.68473
0.081793 233.878 2.78741
0.082401 228.957 2.53499
0.083009 225.615 2.58393
0.083617 219.926 2.57245
0.084225 215.951 2.53346
0.084833 210.266 2.52557
0.085441 206.625 2.5432
0.086049 198.325 2.52011
0.086658 193.483 2.43785
0.087266 188.464 2.48845
0.087874 186.051 2.52926
0.088482 181.634 2.56084
0.08909 180.863 2.51861
0.089698 174.538 2.34486
0.090306 171.295 2.35556
0.090914 168.229 2.32313
0.091522 165.977 2.32123
0.092131 162.214 2.18952
0.092739 157.189 2.12068
0.093347 153.532 2.14653
